sheet_position,session_id,block_index,score
1,7a6d0f49-a9ab-4037-acb2-f00f92733e5e,2,0
2,b0b96085-c0f5-4ec5-875a-6a528345e555,1,0
3,507a3e7a-9ed4-4255-98c7-0657981e9ad9,0,0
4,d9489e49-d54b-4acc-8ee0-5c8ec933ccd9,8,0
5,c47fc2af-7c45-44b7-870a-05d781111d17,15,0
6,4ff6c76c-b91d-4d27-8da2-4f84069645df,8,0
7,69c0edb6-f124-4a79-a8aa-38bef5be7f4a,6,0
8,cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,20,2
9,575a209b-54d7-49ea-9df0-5451d92b91e2,4,0
10,c47fc2af-7c45-44b7-870a-05d781111d17,13,1
11,f675c8c5-a02b-4b1e-94c8-eb344b3dd663,26,0
12,5a58aae8-e742-4312-8f42-3335f876b2d3,13,2
13,f2568f8b-3919-42cc-b3b0-89980f4473c9,2,0
14,ae6b9520-4661-4ee5-93f2-c9f1c8e406f3,20,0
15,c47fc2af-7c45-44b7-870a-05d781111d17,10,3
16,5a58aae8-e742-4312-8f42-3335f876b2d3,16,0
17,d9489e49-d54b-4acc-8ee0-5c8ec933ccd9,7,0
18,9c4b4e50-d922-4cc5-8dcb-7250e8c4274e,4,0
19,f675c8c5-a02b-4b1e-94c8-eb344b3dd663,7,3
20,99d18b2f-7a6e-4efe-bb7d-011b2367cc34,1,0
21,237fbd0b-3b9a-44a8-b617-9040b9f69209,35,3
22,e02c57bc-4f22-4579-91d8-ca21b452d8b3,3,3
23,ebc482b6-0627-4f14-8992-09f9b7d69368,13,2
24,b0835e06-cd27-4427-9ec3-31a6f84bcd81,4,1
25,ba9ede29-07c3-4fe2-8033-248e08401d8c,6,0
26,d9489e49-d54b-4acc-8ee0-5c8ec933ccd9,2,0
27,57dd4ee3-05e7-42ff-9004-1360759f86f5,0,0
28,f675c8c5-a02b-4b1e-94c8-eb344b3dd663,41,0
29,5830a683-008c-4122-93b7-26b2e8e7c9ac,4,0
30,c65f2e91-0b2b-4c9e-81e1-50b525c626a9,7,1
31,c5ddbd37-2928-44d8-a487-7c19faabfd7c,11,2
32,cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,14,1
33,459734fd-849d-4610-a57f-2bcd777f50e0,2,0
34,f49592c1-d3df-44d1-b383-351e14ed1aa5,1,1
35,7a6d0f49-a9ab-4037-acb2-f00f92733e5e,3,1
36,5818b8b6-007a-4158-b26b-0ec22da9ae1d,1,0
37,ebc482b6-0627-4f14-8992-09f9b7d69368,31,0
38,237fbd0b-3b9a-44a8-b617-9040b9f69209,36,3
39,d8622fc8-a987-49f0-8137-cfcd2ce5e762,0,0
40,cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,48,0
41,237fbd0b-3b9a-44a8-b617-9040b9f69209,31,1
42,5373e73b-328f-4606-8345-fdd8d09b69f6,0,0
43,4ff6c76c-b91d-4d27-8da2-4f84069645df,3,1
44,7a6d0f49-a9ab-4037-acb2-f00f92733e5e,4,0
45,5818b8b6-007a-4158-b26b-0ec22da9ae1d,3,0
46,237fbd0b-3b9a-44a8-b617-9040b9f69209,38,3
47,ebc482b6-0627-4f14-8992-09f9b7d69368,21,0
48,9d8cd2a5-ebec-4e5b-8e66-d95498501bda,7,1
49,a70658da-6873-408d-999b-d4136d75de24,22,2
50,afd47647-0247-460d-befa-b8e84c62493e,2,1
51,4ff6c76c-b91d-4d27-8da2-4f84069645df,5,0
52,7640cd99-ecb1-4da3-b2c8-12e19295f106,5,2
53,a26e3510-17b8-444a-924b-bcef74f9dcef,11,0
54,9d8cd2a5-ebec-4e5b-8e66-d95498501bda,5,1
55,06406cdb-9576-4d1e-a6b5-80036a55e189,14,1
56,cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,42,0
57,7bc17a16-b642-4f06-a066-88aacf4a19d7,1,0
58,32af0747-7929-4f65-a441-20af90934a55,4,1
59,a628df76-ea44-41ae-8b53-553d0e75d4cf,3,0
60,7a1703d3-c4fc-4cec-9643-06e76ea2d3c1,4,0
61,5a58aae8-e742-4312-8f42-3335f876b2d3,15,0
62,69c0edb6-f124-4a79-a8aa-38bef5be7f4a,2,1
63,a628df76-ea44-41ae-8b53-553d0e75d4cf,5,0
64,da5cba68-ff34-4df0-8c09-029cb3f53448,1,1
65,f675c8c5-a02b-4b1e-94c8-eb344b3dd663,15,3
66,e02c57bc-4f22-4579-91d8-ca21b452d8b3,8,0
67,48463222-cb81-4c1c-add7-dc5440fd52d1,0,0
68,fb1333ec-d50f-40e3-9a93-44d2fd50042c,3,0
69,da5cba68-ff34-4df0-8c09-029cb3f53448,0,0
70,a70658da-6873-408d-999b-d4136d75de24,7,1
71,cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,1,0
72,cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,5,0
73,7640cd99-ecb1-4da3-b2c8-12e19295f106,0,0
74,ebc482b6-0627-4f14-8992-09f9b7d69368,23,0
75,f5516a02-7c08-4344-af90-4617b2718167,0,0
76,7cde2ec6-41f6-4b22-a1a3-463eb66b96d6,5,0
77,f675c8c5-a02b-4b1e-94c8-eb344b3dd663,32,1
78,880a5ce5-2c66-44be-8d37-cfcb77d8d031,6,0
79,5373e73b-328f-4606-8345-fdd8d09b69f6,2,1
80,39492574-4251-49d1-83f5-b43a1ba9224c,7,2
81,afd47647-0247-460d-befa-b8e84c62493e,1,1
82,c5ddbd37-2928-44d8-a487-7c19faabfd7c,3,1
83,39492574-4251-49d1-83f5-b43a1ba9224c,8,0
84,880a5ce5-2c66-44be-8d37-cfcb77d8d031,19,2
85,270ef70a-efb8-4e93-ba7d-f48c46b2dbc8,4,3
86,a26e3510-17b8-444a-924b-bcef74f9dcef,1,0
87,cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,36,1
