submission_folder,agent_name,llm_name,instance_id,joined,enriched_encoding,is_failed
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-12907,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr Ls Lb Ls Lt Lt Lt P Vr Lt P Vr Lt P Vr G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-13033,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-13236,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt Ls Lt P P P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-13453,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb Ls Lt Ls Lt Ls Lb Ls Ls Ls Ls Lb Ls Lt Ls,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-13579,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb Ls Lt Ls Lt Ls P Ps P P Vp Lb Lb Lb,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-13977,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb Ls Lt P Vp Lb P Vp Lb P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14096,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14182,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb P Vp P Vp P Vp Lb P Vp P Vp P Vp P Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14309,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Lb P Ve P Lb P Vp G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14369,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P P Vp Ls Ls Ls Ls Lb Lb Ls Lt Lb Ls Lt Ls P Ve Lb Lb,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14508,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Ls G Vp Ls Lb Ls Lb P Ve G,1
