session_id,block_index,relabel_score,abs_diff
a628df76-ea44-41ae-8b53-553d0e75d4cf,3,0,0
7a1703d3-c4fc-4cec-9643-06e76ea2d3c1,4,0,0
ae6b9520-4661-4ee5-93f2-c9f1c8e406f3,20,1,1
a70658da-6873-408d-999b-d4136d75de24,22,3,1
7cde2ec6-41f6-4b22-a1a3-463eb66b96d6,5,0,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,48,0,0
237fbd0b-3b9a-44a8-b617-9040b9f69209,38,3,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,17,0,0
270ef70a-efb8-4e93-ba7d-f48c46b2dbc8,2,2,1
5a58aae8-e742-4312-8f42-3335f876b2d3,15,0,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,15,3,0
d9489e49-d54b-4acc-8ee0-5c8ec933ccd9,2,0,0
b0835e06-cd27-4427-9ec3-31a6f84bcd81,4,1,0
99d18b2f-7a6e-4efe-bb7d-011b2367cc34,0,1,0
7640cd99-ecb1-4da3-b2c8-12e19295f106,0,0,0
afd47647-0247-460d-befa-b8e84c62493e,2,3,2
459734fd-849d-4610-a57f-2bcd777f50e0,2,0,0
69c0edb6-f124-4a79-a8aa-38bef5be7f4a,2,2,1
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,20,1,0
b0b96085-c0f5-4ec5-875a-6a528345e555,1,1,1
