session_id,block_index,stratum,corpus,file_attachment,sheet_position,relabel_subset
7a6d0f49-a9ab-4037-acb2-f00f92733e5e,2,oversample,attune,1,1,0
b0b96085-c0f5-4ec5-875a-6a528345e555,1,oversample,attune,1,2,1
507a3e7a-9ed4-4255-98c7-0657981e9ad9,0,random,brownfield,1,3,0
d9489e49-d54b-4acc-8ee0-5c8ec933ccd9,8,random,attune,1,4,0
c47fc2af-7c45-44b7-870a-05d781111d17,15,random,attune,0,5,0
4ff6c76c-b91d-4d27-8da2-4f84069645df,8,random,attune,0,6,0
69c0edb6-f124-4a79-a8aa-38bef5be7f4a,6,random,brownfield,1,7,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,20,random,attune,1,8,0
575a209b-54d7-49ea-9df0-5451d92b91e2,4,oversample,brownfield,0,9,0
c47fc2af-7c45-44b7-870a-05d781111d17,13,random,attune,1,10,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,26,oversample,brownfield,1,11,0
5a58aae8-e742-4312-8f42-3335f876b2d3,13,oversample,brownfield,1,12,0
f2568f8b-3919-42cc-b3b0-89980f4473c9,2,random,brownfield,0,13,0
ae6b9520-4661-4ee5-93f2-c9f1c8e406f3,20,oversample,attune,0,14,1
c47fc2af-7c45-44b7-870a-05d781111d17,10,oversample,attune,1,15,0
5a58aae8-e742-4312-8f42-3335f876b2d3,16,random,brownfield,1,16,0
d9489e49-d54b-4acc-8ee0-5c8ec933ccd9,7,random,attune,1,17,0
9c4b4e50-d922-4cc5-8dcb-7250e8c4274e,4,random,attune,1,18,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,7,oversample,brownfield,1,19,0
99d18b2f-7a6e-4efe-bb7d-011b2367cc34,1,oversample,brownfield,1,20,0
237fbd0b-3b9a-44a8-b617-9040b9f69209,35,oversample,brownfield,1,21,0
e02c57bc-4f22-4579-91d8-ca21b452d8b3,3,oversample,attune,1,22,0
ebc482b6-0627-4f14-8992-09f9b7d69368,13,oversample,attune,1,23,0
b0835e06-cd27-4427-9ec3-31a6f84bcd81,4,oversample,attune,1,24,1
ba9ede29-07c3-4fe2-8033-248e08401d8c,6,random,attune,1,25,0
d9489e49-d54b-4acc-8ee0-5c8ec933ccd9,2,oversample,attune,1,26,1
57dd4ee3-05e7-42ff-9004-1360759f86f5,0,random,brownfield,1,27,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,41,random,brownfield,1,28,0
5830a683-008c-4122-93b7-26b2e8e7c9ac,4,oversample,brownfield,1,29,0
c65f2e91-0b2b-4c9e-81e1-50b525c626a9,7,oversample,attune,1,30,0
c5ddbd37-2928-44d8-a487-7c19faabfd7c,11,oversample,attune,1,31,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,14,oversample,attune,1,32,0
459734fd-849d-4610-a57f-2bcd777f50e0,2,random,brownfield,0,33,1
f49592c1-d3df-44d1-b383-351e14ed1aa5,1,random,brownfield,1,34,0
7a6d0f49-a9ab-4037-acb2-f00f92733e5e,3,oversample,attune,1,35,0
5818b8b6-007a-4158-b26b-0ec22da9ae1d,1,random,brownfield,1,36,0
ebc482b6-0627-4f14-8992-09f9b7d69368,31,random,attune,1,37,0
237fbd0b-3b9a-44a8-b617-9040b9f69209,36,oversample,brownfield,1,38,0
d8622fc8-a987-49f0-8137-cfcd2ce5e762,0,random,brownfield,1,39,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,48,random,attune,1,40,1
237fbd0b-3b9a-44a8-b617-9040b9f69209,31,oversample,brownfield,1,41,0
5373e73b-328f-4606-8345-fdd8d09b69f6,0,random,brownfield,1,42,0
4ff6c76c-b91d-4d27-8da2-4f84069645df,3,random,attune,1,43,0
7a6d0f49-a9ab-4037-acb2-f00f92733e5e,4,oversample,attune,1,44,0
5818b8b6-007a-4158-b26b-0ec22da9ae1d,3,random,brownfield,1,45,0
237fbd0b-3b9a-44a8-b617-9040b9f69209,38,random,brownfield,1,46,1
ebc482b6-0627-4f14-8992-09f9b7d69368,21,oversample,attune,1,47,0
9d8cd2a5-ebec-4e5b-8e66-d95498501bda,7,oversample,attune,1,48,0
a70658da-6873-408d-999b-d4136d75de24,22,random,attune,1,49,1
afd47647-0247-460d-befa-b8e84c62493e,2,random,attune,1,50,1
4ff6c76c-b91d-4d27-8da2-4f84069645df,5,random,attune,0,51,0
7640cd99-ecb1-4da3-b2c8-12e19295f106,5,oversample,brownfield,1,52,0
a26e3510-17b8-444a-924b-bcef74f9dcef,11,random,attune,1,53,0
9d8cd2a5-ebec-4e5b-8e66-d95498501bda,5,random,attune,1,54,0
06406cdb-9576-4d1e-a6b5-80036a55e189,14,oversample,attune,1,55,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,42,random,attune,1,56,0
7bc17a16-b642-4f06-a066-88aacf4a19d7,1,random,attune,1,57,0
32af0747-7929-4f65-a441-20af90934a55,4,oversample,attune,1,58,0
a628df76-ea44-41ae-8b53-553d0e75d4cf,3,random,attune,1,59,1
7a1703d3-c4fc-4cec-9643-06e76ea2d3c1,4,random,brownfield,1,60,1
5a58aae8-e742-4312-8f42-3335f876b2d3,15,random,brownfield,1,61,1
69c0edb6-f124-4a79-a8aa-38bef5be7f4a,2,random,brownfield,1,62,1
a628df76-ea44-41ae-8b53-553d0e75d4cf,5,oversample,attune,1,63,0
da5cba68-ff34-4df0-8c09-029cb3f53448,1,oversample,brownfield,1,64,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,15,oversample,brownfield,0,65,1
e02c57bc-4f22-4579-91d8-ca21b452d8b3,8,random,attune,1,66,0
48463222-cb81-4c1c-add7-dc5440fd52d1,0,random,attune,0,67,0
fb1333ec-d50f-40e3-9a93-44d2fd50042c,3,random,brownfield,1,68,0
da5cba68-ff34-4df0-8c09-029cb3f53448,0,oversample,brownfield,1,69,0
a70658da-6873-408d-999b-d4136d75de24,7,random,attune,1,70,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,1,random,attune,1,71,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,5,oversample,attune,1,72,0
7640cd99-ecb1-4da3-b2c8-12e19295f106,0,random,brownfield,0,73,1
ebc482b6-0627-4f14-8992-09f9b7d69368,23,random,attune,1,74,0
f5516a02-7c08-4344-af90-4617b2718167,0,random,attune,0,75,0
7cde2ec6-41f6-4b22-a1a3-463eb66b96d6,5,oversample,brownfield,0,76,1
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,32,oversample,brownfield,1,77,0
880a5ce5-2c66-44be-8d37-cfcb77d8d031,6,oversample,attune,1,78,0
5373e73b-328f-4606-8345-fdd8d09b69f6,2,oversample,brownfield,1,79,0
39492574-4251-49d1-83f5-b43a1ba9224c,7,oversample,brownfield,1,80,0
afd47647-0247-460d-befa-b8e84c62493e,1,oversample,attune,1,81,0
c5ddbd37-2928-44d8-a487-7c19faabfd7c,3,oversample,attune,1,82,0
39492574-4251-49d1-83f5-b43a1ba9224c,8,random,brownfield,0,83,0
880a5ce5-2c66-44be-8d37-cfcb77d8d031,19,oversample,attune,1,84,0
270ef70a-efb8-4e93-ba7d-f48c46b2dbc8,4,random,brownfield,1,85,0
a26e3510-17b8-444a-924b-bcef74f9dcef,1,random,attune,1,86,0
cb6f5d9e-9a67-4e55-95b0-b2629f4c04f5,36,oversample,attune,1,87,0
99d18b2f-7a6e-4efe-bb7d-011b2367cc34,0,oversample,brownfield,0,88,1
270ef70a-efb8-4e93-ba7d-f48c46b2dbc8,2,oversample,brownfield,1,89,1
5373e73b-328f-4606-8345-fdd8d09b69f6,1,oversample,brownfield,1,90,0
56d2ecd9-789a-4835-83ef-f95f3348dcf6,4,oversample,brownfield,0,91,0
4743a42b-e732-408f-9c44-01c1b5c6eba4,2,random,attune,1,92,0
69c0edb6-f124-4a79-a8aa-38bef5be7f4a,5,oversample,brownfield,1,93,0
e8eeb5d3-cadf-4960-a10d-8c6bd1c7191f,3,oversample,attune,1,94,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,17,oversample,brownfield,1,95,1
c5ddbd37-2928-44d8-a487-7c19faabfd7c,12,random,attune,1,96,0
5a58aae8-e742-4312-8f42-3335f876b2d3,4,random,brownfield,1,97,0
f675c8c5-a02b-4b1e-94c8-eb344b3dd663,20,oversample,brownfield,1,98,1
ec7ed0d3-6f4b-470a-86ee-ccea6a27e1ec,5,oversample,attune,1,99,0
bf1fe5d4-9daf-4fa0-80d5-0332820086df,2,random,brownfield,1,100,0
